Filter	Short	Long	NChan	NSpec	LGeo	FOV0.02	FOV0.035	FOV0.05	FOV0.10
Zbb	999	1176	1476	1019	16x64	0.32x1.28	0.56x2.24	0.8 x 3.2	1.6 x 6.4
Jbb	1180	1416	1574	1019	16x64	0.32x1.28	0.56x2.24	0.8 x 3.2	1.6 x 6.4
Hbb	1473	1803	1651	1019	16x64	0.32x1.28	0.56x2.24	0.8 x 3.2	1.6 x 6.4
Kbb	1965	2381	1665	1019	16x64	0.32x1.28	0.56x2.24	0.8 x 3.2	1.6 x 6.4
Kcb	1965	2381	1665	1019	16x64	n/a	n/a	n/a	1.6 x 6.4
Zn4	1103	1158	459	2038	32x64	0.64x1.28	1.12x2.24	1.6 x 3.2	3.2 x 6.4
Jn1	1174	1232	388	2038	32x64	0.64x1.28	1.12x2.24	1.6 x 3.2	3.2 x 6.4
Jn2	1228	1289	408	2678	42x64	0.84x1.28	1.47x2.24	2.1 x 3.2	4.2 x 6.4
Jn3	1275	1339	428	3063	48x64	0.96x1.28	1.68x2.24	2.4 x 3.2	4.8 x 6.4
Jn4	1323	1389	441	2678	42x64	0.84x1.28	1.47x2.24	2.1 x 3.2	4.2 x 6.4
Hn1	1466	1541	376	2292	36x64	0.72x1.28	1.26x2.24	1.8 x 3.2	3.6 x 6.4
Hn2	1532	1610	391	2868	45x64	0.90x1.28	1.58x2.24	2.25x3.2	4.5 x 6.4
Hn3	1594	1676	411	3063	48x64	0.96x1.28	1.68x2.24	2.4 x 3.2	4.8 x 6.4
Hn4	1652	1737	426	2671	42x64	0.84x1.28	1.47x2.24	2.1 x 3.2	4.2 x 6.4
Hn5	1721	1808	436	2038	32x64	0.64x1.28	1.12x2.24	1.6 x 3.2	3.2 x 6.4
Kn1	1955	2055	401	2292	36x64	0.72x1.28	1.26x2.24	1.8 x 3.2	3.6 x 6.4
Kn2	2036	2141	421	2868	45x64	0.90x1.28	1.58x2.24	2.25x3.2	4.5 x 6.4
Kn3	2121	2229	433	3063	48x64	0.96x1.28	1.68x2.24	2.4 x 3.2	4.8 x 6.4
Kc3	2121	2229	433	3063	48x64	n/a	n/a	n/a	4.8 x 6.4
Kn4	2208	2320	449	2671	42x64	0.84x1.28	1.47x2.24	2.1 x 3.2	4.2 x 6.4
Kc4	2208	2320	449	2671	42x64	n/a	n/a	n/a	4.2 x 6.4
Kn5	2292	2408	465	2038	32x64	0.64x1.28	1.12x2.24	1.6 x 3.2	3.2 x 6.4
Kc5	2292	2408	465	2038	32x64	n/a	n/a	n/a	3.2 x 6.4
